ID;name;lat;lon;demand
d1;Amsterdam;52.37;4.89;500
d2;Andorra la Vella;42.51;1.52;400
d3;Athens;37.98;23.72;250
d4;Belgrade;44.8;20.47;350
d5;Berlin;52.52;13.41;250
d6;Bern;46.95;7.45;150
d7;Bratislava;48.15;17.11;700
d8;Brussels;50.85;4.35;320
d9;Bucharest;44.43;26.11;450
d10;Budapest;47.5;19.04;540
d11;Chisinau;47.01;28.86;320
d12;Copenhagen;55.68;12.57;260
d13;Helsinki;60.17;24.94;480
d14;Kyiv;50.45;30.52;120
d15;Lisbon;38.72;-9.13;110
d16;Ljubljana;46.05;14.51;240
d17;Luxembourg;49.61;6.13;350
d18;Madrid;40.42;-3.7;620
d19;Minsk;53.9;27.57;180
d20;Monaco;43.73;7.42;210
d21;Moscow;55.75;37.62;250
d22;Milano;45.46;9.19;410
d23;Oslo;59.91;10.75;250
d24;Paris;48.85;2.35;320
d25;Podgorica;42.44;19.26;120
d26;Prague;50.09;14.42;800
d27;Rome;41.89;12.51;350
d28;Sarajevo;43.85;18.36;250
d29;Sofia;42.7;23.32;160
d30;Vienna;48.21;16.37;320



