ID;name;country;lat;lon;incoming_flow
USBAL;Baltimore;United States;39.2908816;-76.610759;4850
USBOS;Boston;United States;42.3554334;-71.060511;0
USCHS;Charleston;United States;32.7876012;-79.9402728;300
USHOU;Houston;United States;29.7589382;-95.3676974;2395
USJAX;Jacksonville;United States;30.3321838;-81.655651;1400
USLGB;Long Beach;United States;33.7690164;-118.191604;2765
USMIA;Miami;United States;25.7741728;-80.19362;0
USNFK;Norfolk;United States;36.8448348;-76.2863999;0
USNWK;Newark;United States;40.735657;-74.1723667;0
USPHL;Philadelphia;United States;39.9527237;-75.1635262;0
USSAV;Savannah;United States;32.0564572;-81.0951271;1350
USTAC;Tacoma;United States;47.2455013;-122.438329;1940
