ID,name,lat,lon,demand
d1,Portland ,45.5202471,-122.674194,550
d2,Savannah,32.0564572,-81.0951271,650
d3,Indianapolis,39.7683331,-86.1583502,700
d4,Minneapolis,44.9772995,-93.2654692,350
d5,Harrisburg ,40.2663107,-76.8861122,700
d6,Nashville,36.1622767,-86.7742984,700
d7,Albuquerque,35.0841034,-106.650985,400
d8,Mobile,30.6867339,-88.0848929,500
d9,Little Rock,34.7465071,-92.2896267,500
d10,Phoenix,33.4484367,-112.074141,700
d11,Jacksonville,30.3321838,-81.655651,300
d12,Orlando,28.5421109,-81.3790304,600
d13,New Orleans,29.9759983,-90.0782127,350
d14,Eugene ,44.052071,-123.086754,300
d15,Charleston,32.7884363,-79.9399309,300
d16,Lousville,40.83235615,-81.27122505,300
d17,Frederick,39.2127031,-78.279166,700
d18,Lansing,42.7337712,-84.5553805,300
d19,Springfield,39.7990175,-89.6439575,600
d20,Hattiesburg,31.3271189,-89.2903392,500
d21,Las Vegas,36.1672559,-115.148516,300
d22,Cleveland,41.4764,-81.6805,500
d23,Akron,41.0798,-81.5219,700
d24,Salt Lake City,40.77449873,-111.9489832,450
d25,Tucson,32.1541,-110.879,400
d26,Cheyenne,41.135,-104.7902,515
d27,Casper,42.842,-106.3208,530
d28,Boulder,40.0248,-105.2524,545
d29,Twin Falls,42.5645,-114.4613,560
d30,Fort Collins,40.5477,-105.0656,500
