fas_id;name;address;postcode;latitude;longitude;local_authority
1;Abergement-Clémenciat;L'Abergement-Clémenciat;01400;46.1534255214;4.92611354223;Ain
2;Abergement-de-Varey;L'Abergement-de-Varey;01640;46.0091878776;5.42801696363;Ain
3;Ambérieu-en-Bugey;Ambérieu-en-Bugey;01500;45.9608475114;5.3729257777;Ain
4;Ambérieux-en-Dombes;Ambérieux-en-Dombes;01330;45.9961799872;4.91227250796;Ain
5;Ambléon;Ambléon;01300;45.7494989044;5.59432017366;Ain
6;Ambronay;Ambronay;01500;46.0055913782;5.35760660735;Ain
7;Ambutrix;Ambutrix;01500;45.9367134524;5.3328092349;Ain
8;Andert-et-Condon;Andert-et-Condon;01300;45.7873565333;5.65788307924;Ain
9;Anglefort;Anglefort;01350;45.9093715116;5.79516005674;Ain
10;Apremont;Apremont;01100;46.2054981558;5.65781475272;Ain
11;Aranc;Aranc;01110;46.0015344029;5.51130637511;Ain
12;Arandas;Arandas;01230;45.8908155275;5.49870439091;Ain
13;Arbent;Arbent;01100;46.2834936005;5.69061651221;Ain
14;Arboys en Bugey;Arboys en Bugey;01300;45.7237621545;5.65263086429;Ain
15;Arboys en Bugey;Arboys en Bugey;01300;45.7237621545;5.65263086429;Ain
16;Arbigny;Arbigny;01190;46.4776762988;4.9599416863;Ain
17;Argis;Argis;01230;45.9337182132;5.48251100314;Ain
18;Armix;Armix;01510;45.8541838459;5.58357838695;Ain
19;Ars-sur-Formans;Ars-sur-Formans;01480;45.9934611;4.82199649494;Ain
20;Artemare;Artemare;01510;45.8695891748;5.69065283943;Ain
21;Asnières-sur-Saône;Asnières-sur-Saône;01570;46.3857281418;4.88387478623;Ain
22;Attignat;Attignat;01340;46.2861802203;5.1795233845;Ain
23;Bâgé-Dommartin;Bâgé-Dommartin;01380;46.3233203302;4.9528678933;Ain
24;Bâgé-le-Châtel;Bâgé-le-Châtel;01380;46.3077069231;4.92862084189;Ain
25;Balan;Balan;01360;45.8311226453;5.10780019249;Ain
26;Baneins;Baneins;01990;46.1141214445;4.90146475101;Ain
27;Beaupont;Beaupont;01270;46.4288360203;5.26003405676;Ain
28;Beauregard;Beauregard;01480;46.0008580204;4.75600664694;Ain
29;Bellignat;Bellignat;01100;46.2373497134;5.6360052884;Ain
30;Béligneux;Béligneux;01360;45.8591464826;5.13989505865;Ain
31;Béligneux;Béligneux;01360;45.8591464826;5.13989505865;Ain
32;Béligneux;Béligneux;01360;45.8591464826;5.13989505865;Ain
33;Béligneux;Béligneux;01360;45.8591464826;5.13989505865;Ain
